dataset_name,strategy,compute_time,fit_time_1,fit_time_2,fit_time_3,fit_time_4,fit_time_5,score_time_1,score_time_2,score_time_3,score_time_4,score_time_5,test_r2_1,test_r2_2,test_r2_3,test_r2_4,test_r2_5,test_neg_mean_squared_error_1,test_neg_mean_squared_error_2,test_neg_mean_squared_error_3,test_neg_mean_squared_error_4,test_neg_mean_squared_error_5,test_neg_mean_absolute_error_1,test_neg_mean_absolute_error_2,test_neg_mean_absolute_error_3,test_neg_mean_absolute_error_4,test_neg_mean_absolute_error_5
vancouver_employee,BERT : val_col last,0 days 00:01:10.885742,47.603739500045776,46.228739976882935,48.56225037574768,42.635080099105835,47.827351093292236,3.3069260120391846,2.853297472000122,2.965980052947998,3.0293211936950684,2.461346387863159,0.6370747889520063,0.7156814291822199,0.6988948750370471,0.6408848224552067,0.4953565477612306,-223698583.23333478,-180335248.113065,-185050200.58876425,-208050000.81466946,-240435105.99474287,-10393.099123532784,-9296.737321856368,-9338.382727545591,-10245.001168644692,-10486.046114832574
vancouver_employee,BERT : val_col last_four,0 days 00:09:57.486123,350.32852602005005,346.2819244861603,339.2879412174225,342.2113370895386,339.50494480133057,33.99726605415344,32.07993149757385,36.37251853942871,32.95779728889465,31.975924730300903,0.6461353703526075,0.7257977832148912,0.7217728919912857,0.6517135495619166,0.47898156196451125,-218113853.4849329,-173918730.15845487,-170990055.89021122,-201776479.60407734,-248236894.42225587,-10107.796946374929,-9059.792156528934,-9024.596617664924,-9989.21840798691,-10541.079877628463
vancouver_employee,BERT : val_col_sep last,0 days 00:01:02.439538,43.887983083724976,43.87079954147339,42.10788130760193,42.58622360229492,44.4472131729126,3.314842939376831,2.2768990993499756,3.1880576610565186,3.046128511428833,2.626893997192383,0.6583050576969793,0.7280594896517305,0.7269732496979662,0.6549065653084025,0.5013377611286443,-210612743.79495707,-172484193.57411146,-167794071.6409463,-199926635.9600426,-237585383.75304648,-10066.93233532893,-9096.083374662925,-8976.422548094632,-9716.596334594487,-10117.969400329812
vancouver_employee,BERT : val_col_sep last_four,0 days 00:09:48.909853,336.24854373931885,344.8197343349457,329.58665657043457,343.47354316711426,339.75261425971985,32.374967098236084,31.731982469558716,35.85105013847351,32.838284730911255,33.60091948509216,0.6678143331874722,0.7341134896957999,0.7395992609889512,0.6469043992314776,0.49237948797592834,-204751449.53916228,-168644312.14503846,-160034502.87797606,-204562615.62040016,-241853512.756698,-9843.289860332603,-8933.289985501355,-8636.916108783857,-9773.824524225865,-10142.796015871205
open_payments,TableVectorizer,0 days 00:04:29.324624,244.07544541358948,242.74055647850037,232.68882298469543,228.9946358203888,254.58237552642822,2.27754807472229,2.2913970947265625,2.6046459674835205,3.08101749420166,2.7385666370391846,0.9237357259380098,0.9406606851549756,0.9335236541598695,0.9269934062946095,0.9119026578750595,0.9050988610896518,0.8942630355135041,0.8590657340196881,0.8409391998767547,0.8886850710818905,,,,,
open_payments,BERT : val last,0 days 00:02:49.310807,83.43036651611328,77.41760683059692,79.73189043998718,78.22002792358398,84.98439073562622,12.595161199569702,12.746326446533203,12.401665210723877,11.508275508880615,12.69084644317627,0.9348151169113649,0.9401848830886351,0.9338635127786841,0.9316157977023996,0.905852763238393,0.8840867682940821,0.8506255593204783,0.8366995311269017,0.8138834750444446,0.8824852844996731,,,,,
open_payments,BERT : val last_four,0 days 00:31:41.456257,638.190988779068,622.2580568790436,700.4806931018829,617.7961053848267,675.1649780273438,241.32788729667664,239.4811670780182,245.66922330856323,244.975323677063,244.48350429534912,0.93399945622621,0.9383496465470365,0.9290375203915171,0.9326354428658826,0.901570253551764,0.8843397914929745,0.8622126144455748,0.8431708212545607,0.8146640180984304,0.8791250635854952,,,,,
open_payments,BERT : val_col last,0 days 00:02:50.411184,79.33052968978882,78.10058546066284,80.34784841537476,76.15493059158325,87.2637574672699,14.470221519470215,14.890833854675293,15.481781482696533,15.225385904312134,12.264199495315552,0.9369902120717781,0.9366503534529635,0.9335236541598695,0.9320236557677928,0.9081639589422881,0.887908428242529,0.8489116866428533,0.8369163753738365,0.8131248306870877,0.8826573191207799,,,,,
open_payments,BERT : val_col last_four,0 days 00:29:17.757129,666.1750514507294,656.3821902275085,660.0063681602478,659.0761370658875,657.2601988315582,123.67191743850708,125.78338861465454,119.45215439796448,127.24100995063782,124.06752586364746,0.936310494834149,0.9377379010331702,0.9324361065796629,0.9334511589966692,0.9153694514309021,0.8892048279396356,0.8517675291993974,0.8436392354232478,0.8132817203003521,0.8861187413705399,,,,,
colleges,TableVectorizer,0 days 00:01:38.409889,71.20731043815613,65.19720792770386,69.6345705986023,69.70939779281616,86.94135403633118,3.4446089267730713,3.059040069580078,2.986400842666626,2.364391565322876,2.086599588394165,0.5607669323538096,0.6016384454452142,0.6549150569007733,0.35279117919929603,0.20339067083285645,-0.01700765760178875,-0.016182772581846656,-0.016719837321205785,-0.03176096714843848,-0.04346660106316405,-0.09618478393652463,-0.09317437870759139,-0.09367243482543701,-0.13620386375869128,-0.16848168626464083
colleges,BERT : val last,0 days 00:00:29.539315,22.366467475891113,20.187891960144043,22.325093984603882,23.18160915374756,23.432432651519775,1.0963106155395508,1.0598444938659668,1.10414719581604,1.0537443161010742,1.1162526607513428,0.5296521790742132,0.5943117532982378,0.6351292735785925,0.3353295568139608,0.2132662437010514,-0.018212460038407156,-0.01648040720907426,-0.017678485575888886,-0.03261787452842898,-0.04292774522704068,-0.09955267218516461,-0.09439255984395842,-0.09735395699036309,-0.1390142069227062,-0.16425801045393287
